detected_at_utc,status,signature,actionable,bookmakers,market,event_date,roi_pct,max_liquidity,match,fixture_id,tournament,kickoff_utc,market_id,market_type,period,line,legs_json,arb_sum_S,roi_decimal,total_stake_max,stake_split_json,max_profit,binding_book,min_leg_limit,shadow_books,involves_exchange,low_confidence,suspicious,bet_links_json
2026-06-05T14:20:42Z,UPDATED,5d31eb2af77cceba,true,"polymarket, 1xbet, kalshi",Full Time Result,2026-06-05,1.3922,3109.21,Georgia vs Bahrain,id1000085171421952,Int. Friendly Games,2026-06-05T16:00:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""polymarket"", ""decimal_odds"": 1.282, ""american_odds"": ""-355"", ""limit"": 6602.01, ""stake"": 2459.04, ""changed_at"": ""2026-06-05T14:20:41.622Z""}, {""outcome"": ""X"", ""book"": ""1xbet"", ""decimal_odds"": 7.34, ""american_odds"": ""634"", ""limit"": null, ""stake"": 429.49, ""changed_at"": ""2026-06-05T14:08:56.145Z""}, {""outcome"": ""2"", ""book"": ""kalshi"", ""decimal_odds"": 14.286, ""american_odds"": ""1329"", ""limit"": 220.67, ""stake"": 220.67, ""changed_at"": ""2026-06-05T14:19:46.295Z""}]",0.98627,0.013922,3109.21,"{""polymarket"": 2459.04, ""1xbet"": 429.49, ""kalshi"": 220.67}",43.29,kalshi,220.67,[],true,true,false,"{""polymarket"": """", ""1xbet"": ""https://1xbet.com/line/soccer/125983-e/338424716-georgia-bahrain"", ""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05geobhr""}"
2026-06-05T14:19:01Z,NEW,dcf27d40c8519579,true,"1xbet, kalshi, polymarket",Full Time Result,2026-06-05,1.0124,123.75,Benin vs Niger,id1000085171912970,Int. Friendly Games,2026-06-05T18:00:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""1xbet"", ""decimal_odds"": 2.273, ""american_odds"": ""127"", ""limit"": null, ""stake"": 54.99, ""changed_at"": ""2026-06-05T14:07:48.047Z""}, {""outcome"": ""X"", ""book"": ""kalshi"", ""decimal_odds"": 3.333, ""american_odds"": ""233"", ""limit"": 57.62, ""stake"": 37.5, ""changed_at"": ""2026-06-05T14:18:37.211Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 4.0, ""american_odds"": ""300"", ""limit"": 31.25, ""stake"": 31.25, ""changed_at"": ""2026-06-05T14:19:06.853Z""}]",0.989977,0.010124,123.75,"{""1xbet"": 54.99, ""kalshi"": 37.5, ""polymarket"": 31.25}",1.25,polymarket,31.25,[],true,true,false,"{""1xbet"": ""https://1xbet.com/line/soccer/125983-e/338722502-benin-niger"", ""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05bennig"", ""polymarket"": """"}"
2026-06-05T14:20:42Z,UPDATED,014410d639d6344f,true,"polymarket, 1xbet, kalshi",Full Time Result,2026-06-05,0.5742,440.73,Azerbaijan vs Malta,id1000085171421948,Int. Friendly Games,2026-06-05T18:00:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""polymarket"", ""decimal_odds"": 1.852, ""american_odds"": ""-117"", ""limit"": 1305.54, ""stake"": 239.34, ""changed_at"": ""2026-06-05T14:20:21.682Z""}, {""outcome"": ""X"", ""book"": ""1xbet"", ""decimal_odds"": 3.645, ""american_odds"": ""264"", ""limit"": null, ""stake"": 121.61, ""changed_at"": ""2026-06-05T14:08:49.193Z""}, {""outcome"": ""2"", ""book"": ""kalshi"", ""decimal_odds"": 5.556, ""american_odds"": ""456"", ""limit"": 79.78, ""stake"": 79.78, ""changed_at"": ""2026-06-05T14:16:10.210Z""}]",0.994291,0.005742,440.73,"{""polymarket"": 239.34, ""1xbet"": 121.61, ""kalshi"": 79.78}",2.53,kalshi,79.78,[],true,true,false,"{""polymarket"": """", ""1xbet"": ""https://1xbet.com/line/soccer/125983-e/338431692-azerbaijan-malta"", ""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05azemlt""}"
2026-06-05T14:20:42Z,UPDATED,1b922d537e33dda8,true,"1xbet, polymarket",Asian Handicap,2026-06-05,1.0541,701.27,Azerbaijan vs Malta,id1000085171421948,Int. Friendly Games,2026-06-05T18:00:00.000Z,1060,asian_handicap,fulltime,-1.5,"[{""outcome"": ""1"", ""book"": ""1xbet"", ""decimal_odds"": 4.01, ""american_odds"": ""301"", ""limit"": null, ""stake"": 176.72, ""changed_at"": ""2026-06-05T14:08:49.193Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 1.351, ""american_odds"": ""-285"", ""limit"": 524.55, ""stake"": 524.55, ""changed_at"": ""2026-06-05T14:19:10.422Z""}]",0.989569,0.010541,701.27,"{""1xbet"": 176.72, ""polymarket"": 524.55}",7.39,polymarket,524.55,[],true,true,false,"{""1xbet"": ""https://1xbet.com/line/soccer/125983-e/338431692-azerbaijan-malta"", ""polymarket"": """"}"
2026-06-05T14:19:01Z,NEW,3f2d1fe18afbbd83,true,"kalshi, 1xbet, polymarket",Full Time Result,2026-06-05,1.9595,48.01,Paraguay vs Nicaragua,id1000085171306982,Int. Friendly Games,2026-06-05T22:15:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""kalshi"", ""decimal_odds"": 1.136, ""american_odds"": ""-735"", ""limit"": 17536.53, ""stake"": 43.09, ""changed_at"": ""2026-06-05T14:18:18.255Z""}, {""outcome"": ""X"", ""book"": ""1xbet"", ""decimal_odds"": 16.0, ""american_odds"": ""1500"", ""limit"": null, ""stake"": 3.06, ""changed_at"": ""2026-06-05T14:13:43.528Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 26.316, ""american_odds"": ""2532"", ""limit"": 1.86, ""stake"": 1.86, ""changed_at"": ""2026-06-05T14:17:32.343Z""}]",0.980781,0.019595,48.01,"{""kalshi"": 43.09, ""1xbet"": 3.06, ""polymarket"": 1.86}",0.94,polymarket,1.86,[],true,true,false,"{""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05parnic"", ""1xbet"": ""https://1xbet.com/line/soccer/125983-e/329200084-paraguay-nicaragua"", ""polymarket"": """"}"
2026-06-05T14:28:03Z,UPDATED,fbc65fb6f4b07bfc,true,"kalshi, 1xbet, polymarket",Full Time Result,2026-06-05,1.7504,320.19,Paraguay vs Nicaragua,id1000085171306982,Int. Friendly Games,2026-06-05T22:15:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""kalshi"", ""decimal_odds"": 1.136, ""american_odds"": ""-735"", ""limit"": 17557.65, ""stake"": 286.79, ""changed_at"": ""2026-06-05T14:23:24.612Z""}, {""outcome"": ""X"", ""book"": ""1xbet"", ""decimal_odds"": 15.5, ""american_odds"": ""1450"", ""limit"": null, ""stake"": 21.02, ""changed_at"": ""2026-06-05T14:20:31.647Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 26.316, ""american_odds"": ""2532"", ""limit"": 12.38, ""stake"": 12.38, ""changed_at"": ""2026-06-05T14:27:59.685Z""}]",0.982798,0.017504,320.19,"{""kalshi"": 286.79, ""1xbet"": 21.02, ""polymarket"": 12.38}",5.6,polymarket,12.38,[],true,true,false,"{""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05parnic"", ""1xbet"": ""https://1xbet.com/line/soccer/125983-e/329200084-paraguay-nicaragua"", ""polymarket"": """"}"
2026-06-05T14:20:42Z,NEW,9d63a397719dffc0,true,"kalshi, polymarket, 1xbet",Full Time Result,2026-06-07,3.3434,56.06,Ecuador vs Guatemala,id1000085171170370,Int. Friendly Games,2026-06-07T20:00:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""kalshi"", ""decimal_odds"": 1.282, ""american_odds"": ""-355"", ""limit"": 854.1, ""stake"": 45.19, ""changed_at"": ""2026-06-05T14:12:22.389Z""}, {""outcome"": ""X"", ""book"": ""polymarket"", ""decimal_odds"": 7.143, ""american_odds"": ""614"", ""limit"": 8.11, ""stake"": 8.11, ""changed_at"": ""2026-06-05T14:18:59.545Z""}, {""outcome"": ""2"", ""book"": ""1xbet"", ""decimal_odds"": 21.0, ""american_odds"": ""2000"", ""limit"": null, ""stake"": 2.76, ""changed_at"": ""2026-06-05T14:01:28.770Z""}]",0.967647,0.033434,56.06,"{""kalshi"": 45.19, ""polymarket"": 8.11, ""1xbet"": 2.76}",1.87,polymarket,8.11,[],true,true,false,"{""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun07ecugtm"", ""polymarket"": """", ""1xbet"": ""https://1xbet.com/line/soccer/125983-e/338312722-ecuador-guatemala""}"
2026-06-05T14:28:03Z,NEW,03ec9970a61860c0,true,"polymarket, 1xbet, kalshi",Full Time Result,2026-06-05,0.6644,2474.47,Georgia vs Bahrain,id1000085171421952,Int. Friendly Games,2026-06-05T16:00:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""polymarket"", ""decimal_odds"": 1.266, ""american_odds"": ""-376"", ""limit"": 6233.67, ""stake"": 1967.54, ""changed_at"": ""2026-06-05T14:28:09.202Z""}, {""outcome"": ""X"", ""book"": ""1xbet"", ""decimal_odds"": 7.49, ""american_odds"": ""649"", ""limit"": null, ""stake"": 332.56, ""changed_at"": ""2026-06-05T14:22:58.022Z""}, {""outcome"": ""2"", ""book"": ""kalshi"", ""decimal_odds"": 14.286, ""american_odds"": ""1329"", ""limit"": 174.36, ""stake"": 174.36, ""changed_at"": ""2026-06-05T14:28:05.894Z""}]",0.993399,0.006644,2474.47,"{""polymarket"": 1967.54, ""1xbet"": 332.56, ""kalshi"": 174.36}",16.44,kalshi,174.36,[],true,true,false,"{""polymarket"": """", ""1xbet"": ""https://1xbet.com/line/soccer/125983-e/338424716-georgia-bahrain"", ""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05geobhr""}"
2026-06-05T14:28:03Z,NEW,c63e64c112ebd1e1,true,"1xbet, polymarket",Asian Handicap,2026-06-06,0.9631,909.41,Gibraltar vs Cayman Islands,id1000085171600998,Int. Friendly Games,2026-06-06T17:00:00.000Z,1060,asian_handicap,fulltime,-1.5,"[{""outcome"": ""1"", ""book"": ""1xbet"", ""decimal_odds"": 1.784, ""american_odds"": ""-128"", ""limit"": null, ""stake"": 514.67, ""changed_at"": ""2026-06-05T14:23:22.928Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 2.326, ""american_odds"": ""133"", ""limit"": 394.74, ""stake"": 394.74, ""changed_at"": ""2026-06-05T14:24:28.170Z""}]",0.990461,0.009631,909.41,"{""1xbet"": 514.67, ""polymarket"": 394.74}",8.76,polymarket,394.74,[],true,true,false,"{""1xbet"": ""https://1xbet.com/line/soccer/125983-e/335068680-gibraltar-cayman-islands"", ""polymarket"": """"}"
2026-06-05T14:28:03Z,NEW,8e2606733ee2e638,true,"polymarket, kalshi, 1xbet",Full Time Result,2026-06-05,2.4382,131.42,Russia vs Burkina Faso,id1000085171527262,Int. Friendly Games,2026-06-05T17:00:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""polymarket"", ""decimal_odds"": 1.471, ""american_odds"": ""-212"", ""limit"": 91.52, ""stake"": 91.52, ""changed_at"": ""2026-06-05T14:27:56.911Z""}, {""outcome"": ""X"", ""book"": ""kalshi"", ""decimal_odds"": 5.263, ""american_odds"": ""426"", ""limit"": 141.07, ""stake"": 25.58, ""changed_at"": ""2026-06-05T14:28:03.277Z""}, {""outcome"": ""2"", ""book"": ""1xbet"", ""decimal_odds"": 9.4, ""american_odds"": ""840"", ""limit"": null, ""stake"": 14.32, ""changed_at"": ""2026-06-05T14:27:37.656Z""}]",0.976198,0.024382,131.42,"{""polymarket"": 91.52, ""kalshi"": 25.58, ""1xbet"": 14.32}",3.2,polymarket,91.52,[],true,true,false,"{""polymarket"": """", ""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05rusbur"", ""1xbet"": ""https://1xbet.com/line/soccer/125983-e/325925232-russia-burkina-faso""}"
2026-06-05T14:59:12Z,NEW,313ba0ee2e68ed5a,true,"polymarket, 1xbet, kalshi",Full Time Result,2026-06-05,0.5919,5082.14,Georgia vs Bahrain,id1000085171421952,Int. Friendly Games,2026-06-05T16:00:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""polymarket"", ""decimal_odds"": 1.266, ""american_odds"": ""-376"", ""limit"": 4038.09, ""stake"": 4038.09, ""changed_at"": ""2026-06-05T14:59:17.814Z""}, {""outcome"": ""X"", ""book"": ""1xbet"", ""decimal_odds"": 7.45, ""american_odds"": ""645"", ""limit"": null, ""stake"": 686.2, ""changed_at"": ""2026-06-05T14:57:50.906Z""}, {""outcome"": ""2"", ""book"": ""kalshi"", ""decimal_odds"": 14.286, ""american_odds"": ""1329"", ""limit"": 1060.14, ""stake"": 357.85, ""changed_at"": ""2026-06-05T14:58:47.485Z""}]",0.994116,0.005919,5082.14,"{""polymarket"": 4038.09, ""1xbet"": 686.2, ""kalshi"": 357.85}",30.08,polymarket,1060.14,[],true,true,false,"{""polymarket"": """", ""1xbet"": ""https://1xbet.com/line/soccer/125983-e/338424716-georgia-bahrain"", ""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05geobhr""}"
2026-06-05T14:59:12Z,NEW,721b4593a5304f75,true,"polymarket, kalshi, 1xbet",Full Time Result,2026-06-05,0.723,27.04,Benin vs Niger,id1000085171912970,Int. Friendly Games,2026-06-05T18:00:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""polymarket"", ""decimal_odds"": 2.273, ""american_odds"": ""127"", ""limit"": 11.98, ""stake"": 11.98, ""changed_at"": ""2026-06-05T14:58:57.411Z""}, {""outcome"": ""X"", ""book"": ""kalshi"", ""decimal_odds"": 3.333, ""american_odds"": ""233"", ""limit"": 43.86, ""stake"": 8.17, ""changed_at"": ""2026-06-05T14:55:22.155Z""}, {""outcome"": ""2"", ""book"": ""1xbet"", ""decimal_odds"": 3.955, ""american_odds"": ""296"", ""limit"": null, ""stake"": 6.89, ""changed_at"": ""2026-06-05T14:49:54.008Z""}]",0.992822,0.00723,27.04,"{""polymarket"": 11.98, ""kalshi"": 8.17, ""1xbet"": 6.89}",0.2,polymarket,11.98,[],true,true,false,"{""polymarket"": """", ""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05bennig"", ""1xbet"": ""https://1xbet.com/line/soccer/125983-e/338722502-benin-niger""}"
2026-06-05T14:59:12Z,NEW,b62bdf11041971d5,true,"1xbet, polymarket, kalshi",Full Time Result,2026-06-05,1.1608,74.14,Azerbaijan vs Malta,id1000085171421948,Int. Friendly Games,2026-06-05T18:00:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""1xbet"", ""decimal_odds"": 1.892, ""american_odds"": ""-112"", ""limit"": null, ""stake"": 39.64, ""changed_at"": ""2026-06-05T14:50:56.716Z""}, {""outcome"": ""X"", ""book"": ""polymarket"", ""decimal_odds"": 3.704, ""american_odds"": ""270"", ""limit"": 71.28, ""stake"": 20.25, ""changed_at"": ""2026-06-05T14:59:03.603Z""}, {""outcome"": ""2"", ""book"": ""kalshi"", ""decimal_odds"": 5.263, ""american_odds"": ""426"", ""limit"": 14.25, ""stake"": 14.25, ""changed_at"": ""2026-06-05T14:59:09.431Z""}]",0.988525,0.011608,74.14,"{""1xbet"": 39.64, ""polymarket"": 20.25, ""kalshi"": 14.25}",0.86,kalshi,14.25,[],true,true,false,"{""1xbet"": ""https://1xbet.com/line/soccer/125983-e/338431692-azerbaijan-malta"", ""polymarket"": """", ""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05azemlt""}"
2026-06-05T15:32:00Z,NEW,275a74473c699c61,true,"polymarket, kalshi, 1xbet",Full Time Result,2026-06-05,0.5984,10234,Georgia vs Bahrain,id1000085171421952,Int. Friendly Games,2026-06-05T16:00:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""polymarket"", ""decimal_odds"": 1.25, ""american_odds"": ""-400"", ""limit"": 8236.22, ""stake"": 8236.22, ""changed_at"": ""2026-06-05T15:32:05.245Z""}, {""outcome"": ""X"", ""book"": ""kalshi"", ""decimal_odds"": 7.143, ""american_odds"": ""614"", ""limit"": 2180.08, ""stake"": 1441.31, ""changed_at"": ""2026-06-05T15:31:58.290Z""}, {""outcome"": ""2"", ""book"": ""1xbet"", ""decimal_odds"": 18.5, ""american_odds"": ""1750"", ""limit"": null, ""stake"": 556.5, ""changed_at"": ""2026-06-05T15:27:35.037Z""}]",0.994051,0.005984,10234,"{""polymarket"": 8236.22, ""kalshi"": 1441.31, ""1xbet"": 556.5}",61.24,polymarket,2180.08,[],true,true,false,"{""polymarket"": """", ""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05geobhr"", ""1xbet"": ""https://1xbet.com/line/soccer/125983-e/338424716-georgia-bahrain""}"
